Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,Post 1 Item,Post 1 Trial Type,Post 1 Max Time,Post 1 Min Time
78,Study,4,4,,River,RR5,78,JOL,5,5
79,Study,4,4,,River,RR6,79,JOL,5,5
80,Study,4,4,,River,RR7,80,JOL,5,5
81,Study,4,4,,River,RR8,81,JOL,5,5
82,Study,4,4,,River,RR9,82,JOL,5,5
83,Study,4,4,,River,RR10,83,JOL,5,5
84,Study,4,4,,River,RR11,84,JOL,5,5
85,Study,4,4,,River,RR12,85,JOL,5,5
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,,No,,
86,Study,4,4,,Bread,B1,86,JOL,5,5
87,Study,4,4,,Bread,B2,87,JOL,5,5
88,Study,4,4,,Bread,B3,88,JOL,5,5
89,Study,4,4,,Bread,B4,89,JOL,5,5
90,Study,4,4,,Bread,B5,90,JOL,5,5
91,Study,4,4,,Bread,B6,91,JOL,5,5
92,Study,4,4,,Bread,B7,92,JOL,5,5
93,Study,4,4,,Bread,B8,93,JOL,5,5
94,Study,4,4,,Bread,B9,94,JOL,5,5
95,Study,4,4,,Bread,B10,95,JOL,5,5
96,Study,4,4,,Bread,B11,96,JOL,5,5
97,Study,4,4,,Bread,B12,97,JOL,5,5
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,,No,,
98,Study,4,4,,Flag,F1,98,JOL,5,5
99,Study,4,4,,Flag,F2,99,JOL,5,5
100,Study,4,4,,Flag,F3,100,JOL,5,5
101,Study,4,4,,Flag,F4,101,JOL,5,5
102,Study,4,4,,Flag,F5,102,JOL,5,5
103,Study,4,4,,Flag,F6,103,JOL,5,5
104,Study,4,4,,Flag,F7,104,JOL,5,5
105,Study,4,4,,Flag,F8,105,JOL,5,5
106,Study,4,4,,Flag,F9,106,JOL,5,5
107,Study,4,4,,Flag,F10,107,JOL,5,5
108,Study,4,4,,Flag,F11,108,JOL,5,5
109,Study,4,4,,Flag,F12,109,JOL,5,5
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,,No,,
110,Study,4,4,,Shirt,SS1,110,JOL,5,5
111,Study,4,4,,Shirt,SS2,111,JOL,5,5
112,Study,4,4,,Shirt,SS3,112,JOL,5,5
113,Study,4,4,,Shirt,SS4,113,JOL,5,5
114,Study,4,4,,Shirt,SS5,114,JOL,5,5
115,Study,4,4,,Shirt,SS6,115,JOL,5,5
116,Study,4,4,,Shirt,SS7,116,JOL,5,5
117,Study,4,4,,Shirt,SS8,117,JOL,5,5
118,Study,4,4,,Shirt,SS9,118,JOL,5,5
119,Study,4,4,,Shirt,SS10,119,JOL,5,5
120,Study,4,4,,Shirt,SS11,120,JOL,5,5
121,Study,4,4,,Shirt,SS12,121,JOL,5,5
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,,No,,
0,FreeRecall,60,60,"Please type as many words as you can that begin with the letter ""C"". The computer will automatically advance to the next screen in 60 seconds.",,FILLER,,No,,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,,No,,
0,Instruct,User,10,"Your memory will now be tested. You will be presented with a series of words. If the word on the screen was previously studied, please select YES. If the word was not studied, select NO.  PLEASE DO NOT SKIP ITEMS! Click next when you are ready to begin.",,Instruct_stuff,,No,,
122,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
123,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
124,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
125,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
126,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
127,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
128,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
129,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
130,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
131,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
132,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
133,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
134,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
135,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
136,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
137,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
138,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
139,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
140,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
141,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
142,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
143,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
144,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
145,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
146,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
147,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
148,Likert,User,1,Was this item previously studied? ,List Item Sans F,Recog,1::2,No,,
149,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
150,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
151,Likert,User,1,Was this item previously studied? ,List Item Standard F,Recog,1::2,No,,
152,Likert,User,1,Was this item previously studied? ,Critical Lure Sans F,Recog,1::2,No,,
153,Likert,User,1,Was this item previously studied? ,Critical Lure Standard F,Recog,1::2,No,,
154,Likert,User,1,Was this item previously studied? ,Critical Lure Sans F,Recog,1::2,No,,
155,Likert,User,1,Was this item previously studied? ,Critical Lure Standard F,Recog,1::2,No,,
156,Likert,User,1,Was this item previously studied? ,Critical Lure Sans F,Recog,1::2,No,,
157,Likert,User,1,Was this item previously studied? ,Critical Lure Standard F,Recog,1::2,No,,
158,Likert,User,1,Was this item previously studied? ,Critical Lure Sans F,Recog,1::2,No,,
159,Likert,User,1,Was this item previously studied? ,Critical Lure Standard F,Recog,1::2,No,,
160,Likert,User,1,Was this item previously studied? ,Critical Lure Sans F,Recog,1::2,No,,
161,Likert,User,1,Was this item previously studied? ,Critical Lure Standard F,Recog,1::2,No,,
162,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
163,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
164,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
165,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
166,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
167,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
168,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
169,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
170,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
171,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
172,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
173,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
174,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
175,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
176,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
177,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
178,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
179,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
180,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
181,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
182,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
183,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
184,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
185,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
186,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
187,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
188,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
189,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
190,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
191,Likert,User,1,Was this item previously studied? ,List Item Control,Recog,1::2,No,,
192,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
193,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
194,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
195,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
196,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
197,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
198,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
199,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
200,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
201,Likert,User,1,Was this item previously studied? ,Critical Lure Control,Recog,1::2,No,,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct7,,No,,
0,Instruct,User,-,The following screen will ask you a few questions abour your experience today. You must complete these questions to receive credit.,,Instruct8,,No,,
