"Username","Trial","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Stimuli.Value","Procedure.Item","Procedure.Trial.Type","Procedure.Procedure.Notes","Procedure.Shuffle","Response.RT","Response.Response","Response.JOL"
"5671927473f58b000d664293",32,4,"Global D","Slow","Slow","U1","Unrelated",23,24,"Study","Unrelated","U1",2155,"",NA
"5671927473f58b000d664293",33,4,"Global D","Dirt","Dirt","U1","Unrelated",16,15,"Study","Unrelated","U1",2416,"",NA
"5671927473f58b000d664293",34,4,"Global D","Hawk","Hawk","U1","Unrelated",24,25,"Study","Unrelated","U1",2386,"",NA
"5671927473f58b000d664293",36,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Unrelated","JOL2",6001,"",45
"5671927473f58b000d664293",40,4,"Global D","","","","",NA,0,"FreeRecall","Unrelated","RECALL_Test2",65000,"Frog Dirt Document Flea Yellow Mint Slow Bean ",NA
"5671927473f58b000d664293",42,4,"Global D","Attic","Attic","R2","Related",34,26,"Study","Related","R2",3348,"",NA
"5671927473f58b000d664293",43,4,"Global D","Roof","Roof","R2","Related",36,36,"Study","Related","R2",3331,"",NA
"5671927473f58b000d664293",44,4,"Global D","Wall","Wall","R2","Related",29,34,"Study","Related","R2",2663,"",NA
"5671927473f58b000d664293",45,4,"Global D","Stairs","Stairs","R2","Related",32,30,"Study","Related","R2",2151,"",NA
"5671927473f58b000d664293",46,4,"Global D","Bathroom","Bathroom","R2","Related",27,31,"Study","Related","R2",2127,"",NA
"5671927473f58b000d664293",47,4,"Global D","Hallway","Hallway","R2","Related",35,29,"Study","Related","R2",1671,"",NA
"5671927473f58b000d664293",48,4,"Global D","Window","Window","R2","Related",28,32,"Study","Related","R2",2073,"",NA
"5671927473f58b000d664293",49,4,"Global D","Basement","Basement","R2","Related",26,33,"Study","Related","R2",1628,"",NA
"5671927473f58b000d664293",50,4,"Global D","Floor","Floor","R2","Related",31,37,"Study","Related","R2",1646,"",NA
"5671927473f58b000d664293",51,4,"Global D","Ceiling","Ceiling","R2","Related",25,28,"Study","Related","R2",1766,"",NA
"5671927473f58b000d664293",52,4,"Global D","Door","Door","R2","Related",30,35,"Study","Related","R2",1609,"",NA
"5671927473f58b000d664293",53,4,"Global D","Elevator","Elevator","R2","Related",33,27,"Study","Related","R2",1656,"",NA
"5671927473f58b000d664293",55,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Related","JOL3",6001,"",80
"5671927473f58b000d664293",59,4,"Global D","","","","",NA,0,"FreeRecall","Related","RECALL_Test3",65000,"Roof Attic Floor Wall Stairs Basement Ceiling Door Window",NA
"5671927473f58b000d664293",61,4,"Global D","Drill","Drill","U2","Unrelated",45,45,"Study","Unrelated","U2",2552,"",NA
"5671927473f58b000d664293",62,4,"Global D","Basket","Basket","U2","Unrelated",41,49,"Study","Unrelated","U2",2607,"",NA
"5671927473f58b000d664293",63,4,"Global D","Flute","Flute","U2","Unrelated",38,38,"Study","Unrelated","U2",2014,"",NA
"5671927473f58b000d664293",64,4,"Global D","Cook","Cook","U2","Unrelated",42,48,"Study","Unrelated","U2",3221,"",NA
"5671927473f58b000d664293",65,4,"Global D","Rest","Rest","U2","Unrelated",48,39,"Study","Unrelated","U2",2566,"",NA
"5671927473f58b000d664293",66,4,"Global D","Card","Card","U2","Unrelated",37,40,"Study","Unrelated","U2",3192,"",NA
"5671927473f58b000d664293",67,4,"Global D","Mother","Mother","U2","Unrelated",44,42,"Study","Unrelated","U2",1526,"",NA
"5671927473f58b000d664293",68,4,"Global D","Tent","Tent","U2","Unrelated",46,41,"Study","Unrelated","U2",2756,"",NA
"5671927473f58b000d664293",69,4,"Global D","Phone","Phone","U2","Unrelated",47,46,"Study","Unrelated","U2",2669,"",NA
"5671927473f58b000d664293",70,4,"Global D","Salt","Salt","U2","Unrelated",39,43,"Study","Unrelated","U2",3356,"",NA
"5671927473f58b000d664293",71,4,"Global D","Cloud","Cloud","U2","Unrelated",40,44,"Study","Unrelated","U2",2218,"",NA
"5671927473f58b000d664293",72,4,"Global D","Fossil","Fossil","U2","Unrelated",43,47,"Study","Unrelated","U2",2099,"",NA
"5671927473f58b000d664293",74,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Unrelated","JOL4",6000,"",40
"5671927473f58b000d664293",78,4,"Global D","","","","",NA,0,"FreeRecall","Unrelated","RECALL_Test4",65001,"Basket Drill Mother Flute ",NA
"56a38b45dbe850000cfd50c3",4,4,"Global D","Pear","Pear","R1","Related",5,8,"Study","Related","R1",2057,"",NA
"56a38b45dbe850000cfd50c3",5,4,"Global D","Strawberry","Strawberry","R1","Related",7,3,"Study","Related","R1",1759,"",NA
"56a38b45dbe850000cfd50c3",6,4,"Global D","Grape","Grape","R1","Related",4,5,"Study","Related","R1",1730,"",NA
"56a38b45dbe850000cfd50c3",7,4,"Global D","Peach","Peach","R1","Related",6,2,"Study","Related","R1",1848,"",NA
"56a38b45dbe850000cfd50c3",8,4,"Global D","Kiwi","Kiwi","R1","Related",8,13,"Study","Related","R1",3527,"",NA
"56a38b45dbe850000cfd50c3",9,4,"Global D","Apple","Apple","R1","Related",1,10,"Study","Related","R1",4895,"",NA
"56a38b45dbe850000cfd50c3",10,4,"Global D","Orange","Orange","R1","Related",2,7,"Study","Related","R1",1940,"",NA
"56a38b45dbe850000cfd50c3",11,4,"Global D","Plum","Plum","R1","Related",9,6,"Study","Related","R1",1522,"",NA
"56a38b45dbe850000cfd50c3",12,4,"Global D","Lemon","Lemon","R1","Related",12,11,"Study","Related","R1",1449,"",NA
"56a38b45dbe850000cfd50c3",13,4,"Global D","Banana","Banana","R1","Related",3,12,"Study","Related","R1",1383,"",NA
"56a38b45dbe850000cfd50c3",14,4,"Global D","Cherry","Cherry","R1","Related",11,4,"Study","Related","R1",1379,"",NA
"56a38b45dbe850000cfd50c3",15,4,"Global D","Mango","Mango","R1","Related",10,9,"Study","Related","R1",1629,"",NA
"56a38b45dbe850000cfd50c3",17,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Related","JOL1",6001,"",40
"56a38b45dbe850000cfd50c3",21,4,"Global D","","","","",NA,0,"FreeRecall","Related","RECALL_Test1",65001,"Pear Peach Cherry Kiwi Banana Apple Lemon Strawberry ",NA
"56a38b45dbe850000cfd50c3",23,4,"Global D","Hawk","Hawk","U1","Unrelated",24,16,"Study","Unrelated","U1",3893,"",NA
"56a38b45dbe850000cfd50c3",24,4,"Global D","Mint","Mint","U1","Unrelated",17,14,"Study","Unrelated","U1",3776,"",NA
"56a38b45dbe850000cfd50c3",25,4,"Global D","Bean","Bean","U1","Unrelated",22,17,"Study","Unrelated","U1",3971,"",NA
"56a38b45dbe850000cfd50c3",26,4,"Global D","Document","Document","U1","Unrelated",15,24,"Study","Unrelated","U1",4721,"",NA
"56a38b45dbe850000cfd50c3",27,4,"Global D","Yellow","Yellow","U1","Unrelated",19,19,"Study","Unrelated","U1",3186,"",NA
"56a38b45dbe850000cfd50c3",28,4,"Global D","Bed","Bed","U1","Unrelated",14,25,"Study","Unrelated","U1",3547,"",NA
"56a38b45dbe850000cfd50c3",29,4,"Global D","Frog","Frog","U1","Unrelated",13,20,"Study","Unrelated","U1",3763,"",NA
"56a38b45dbe850000cfd50c3",30,4,"Global D","Flea","Flea","U1","Unrelated",21,21,"Study","Unrelated","U1",3446,"",NA
"56a38b45dbe850000cfd50c3",31,4,"Global D","Kayak","Kayak","U1","Unrelated",20,23,"Study","Unrelated","U1",5059,"",NA
"56a38b45dbe850000cfd50c3",32,4,"Global D","Dirt","Dirt","U1","Unrelated",16,18,"Study","Unrelated","U1",3882,"",NA
"56a38b45dbe850000cfd50c3",33,4,"Global D","Shirt","Shirt","U1","Unrelated",18,22,"Study","Unrelated","U1",3771,"",NA
"56a38b45dbe850000cfd50c3",34,4,"Global D","Slow","Slow","U1","Unrelated",23,15,"Study","Unrelated","U1",3548,"",NA
"56a38b45dbe850000cfd50c3",36,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Unrelated","JOL2",6001,"",0
"56a38b45dbe850000cfd50c3",40,4,"Global D","","","","",NA,0,"FreeRecall","Unrelated","RECALL_Test2",65001,"Dirt Hawk Frog Flea",NA
"56a38b45dbe850000cfd50c3",42,4,"Global D","Door","Door","R2","Related",30,27,"Study","Related","R2",2468,"",NA
"56a38b45dbe850000cfd50c3",43,4,"Global D","Attic","Attic","R2","Related",34,33,"Study","Related","R2",2599,"",NA
"56a38b45dbe850000cfd50c3",44,4,"Global D","Wall","Wall","R2","Related",29,30,"Study","Related","R2",2222,"",NA
"56a38b45dbe850000cfd50c3",45,4,"Global D","Window","Window","R2","Related",28,26,"Study","Related","R2",2193,"",NA
"56a38b45dbe850000cfd50c3",46,4,"Global D","Hallway","Hallway","R2","Related",35,34,"Study","Related","R2",2882,"",NA
"56a38b45dbe850000cfd50c3",47,4,"Global D","Elevator","Elevator","R2","Related",33,35,"Study","Related","R2",2207,"",NA
"56a38b45dbe850000cfd50c3",48,4,"Global D","Bathroom","Bathroom","R2","Related",27,31,"Study","Related","R2",2086,"",NA
"56a38b45dbe850000cfd50c3",49,4,"Global D","Stairs","Stairs","R2","Related",32,28,"Study","Related","R2",2016,"",NA
"56a38b45dbe850000cfd50c3",50,4,"Global D","Basement","Basement","R2","Related",26,37,"Study","Related","R2",1791,"",NA
"56a38b45dbe850000cfd50c3",51,4,"Global D","Floor","Floor","R2","Related",31,29,"Study","Related","R2",1804,"",NA
"56a38b45dbe850000cfd50c3",52,4,"Global D","Ceiling","Ceiling","R2","Related",25,32,"Study","Related","R2",1614,"",NA
"56a38b45dbe850000cfd50c3",53,4,"Global D","Roof","Roof","R2","Related",36,36,"Study","Related","R2",1955,"",NA
"56a38b45dbe850000cfd50c3",55,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Related","JOL3",6000,"",50
"56a38b45dbe850000cfd50c3",59,4,"Global D","","","","",NA,0,"FreeRecall","Related","RECALL_Test3",65002,"Door Elevator Window Attic Basement Wall Ceiling Floor",NA
"56a38b45dbe850000cfd50c3",61,4,"Global D","Basket","Basket","U2","Unrelated",41,49,"Study","Unrelated","U2",2489,"",NA
"56a38b45dbe850000cfd50c3",62,4,"Global D","Mother","Mother","U2","Unrelated",44,40,"Study","Unrelated","U2",2685,"",NA
"56a38b45dbe850000cfd50c3",63,4,"Global D","Cloud","Cloud","U2","Unrelated",40,42,"Study","Unrelated","U2",6293,"",NA
"56a38b45dbe850000cfd50c3",64,4,"Global D","Card","Card","U2","Unrelated",37,39,"Study","Unrelated","U2",9336,"",NA
"56a38b45dbe850000cfd50c3",65,4,"Global D","Cook","Cook","U2","Unrelated",42,47,"Study","Unrelated","U2",11053,"",NA
"56a38b45dbe850000cfd50c3",66,4,"Global D","Fossil","Fossil","U2","Unrelated",43,38,"Study","Unrelated","U2",15181,"",NA
"56a38b45dbe850000cfd50c3",67,4,"Global D","Drill","Drill","U2","Unrelated",45,46,"Study","Unrelated","U2",15118,"",NA
"56a38b45dbe850000cfd50c3",68,4,"Global D","Salt","Salt","U2","Unrelated",39,45,"Study","Unrelated","U2",19663,"",NA
"56a38b45dbe850000cfd50c3",69,4,"Global D","Rest","Rest","U2","Unrelated",48,48,"Study","Unrelated","U2",3441,"",NA
"56a38b45dbe850000cfd50c3",70,4,"Global D","Flute","Flute","U2","Unrelated",38,44,"Study","Unrelated","U2",1653,"",NA
"56a38b45dbe850000cfd50c3",71,4,"Global D","Phone","Phone","U2","Unrelated",47,41,"Study","Unrelated","U2",2158,"",NA
"56a38b45dbe850000cfd50c3",72,4,"Global D","Tent","Tent","U2","Unrelated",46,43,"Study","Unrelated","U2",1594,"",NA
"56a38b45dbe850000cfd50c3",74,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Unrelated","JOL4",6001,"",10
"56a38b45dbe850000cfd50c3",78,4,"Global D","","","","",NA,0,"FreeRecall","Unrelated","RECALL_Test4",65001,"Basket Mother Cloud Card Cook Fossil Drill Salt Phone",NA
"56cb314508d7300005fd312a",4,1,"Global A","Parrot","Parrot","U1","Unrelated",21,20,"Study","Unrelated","U1",2424,"",NA
"56cb314508d7300005fd312a",5,1,"Global A","Ballet","Ballet","U1","Unrelated",24,19,"Study","Unrelated","U1",2870,"",NA
"56cb314508d7300005fd312a",6,1,"Global A","Oxygen","Oxygen","U1","Unrelated",18,24,"Study","Unrelated","U1",2747,"",NA
"56cb314508d7300005fd312a",7,1,"Global A","Rifle","Rifle","U1","Unrelated",13,23,"Study","Unrelated","U1",2326,"",NA
"56cb314508d7300005fd312a",8,1,"Global A","Milk","Milk","U1","Unrelated",22,16,"Study","Unrelated","U1",2431,"",NA
"56cb314508d7300005fd312a",9,1,"Global A","Jeep","Jeep","U1","Unrelated",23,22,"Study","Unrelated","U1",2152,"",NA
"56cb314508d7300005fd312a",10,1,"Global A","Guitar","Guitar","U1","Unrelated",19,18,"Study","Unrelated","U1",1853,"",NA
"56cb314508d7300005fd312a",11,1,"Global A","Dollar","Dollar","U1","Unrelated",20,25,"Study","Unrelated","U1",2069,"",NA
"56cb314508d7300005fd312a",12,1,"Global A","Student","Student","U1","Unrelated",15,14,"Study","Unrelated","U1",1595,"",NA
"56cb314508d7300005fd312a",13,1,"Global A","Hockey","Hockey","U1","Unrelated",16,15,"Study","Unrelated","U1",2099,"",NA
"56cb314508d7300005fd312a",14,1,"Global A","Mayor","Mayor","U1","Unrelated",14,21,"Study","Unrelated","U1",1838,"",NA
"56cb314508d7300005fd312a",15,1,"Global A","Pants","Pants","U1","Unrelated",17,17,"Study","Unrelated","U1",2228,"",NA
"56cb314508d7300005fd312a",17,1,"Global A","","","","",NA,0,"JOL_GLOBAL","Unrelated","JOL2",6004,"",NA
"56cb314508d7300005fd312a",21,1,"Global A","","","","",NA,0,"FreeRecall","Unrelated","RECALL_Test1",65001,"Parrot, oxygen, ballet, ",NA
"56cb314508d7300005fd312a",23,1,"Global A","Volcano","Volcano","R1","Related",4,7,"Study","Related","R1",4376,"",NA
"56cb314508d7300005fd312a",24,1,"Global A","Mountain","Mountain","R1","Related",7,4,"Study","Related","R1",2863,"",NA
"56cb314508d7300005fd312a",25,1,"Global A","Canyon","Canyon","R1","Related",3,10,"Study","Related","R1",2482,"",NA
"56cb314508d7300005fd312a",26,1,"Global A","Glacier","Glacier","R1","Related",12,6,"Study","Related","R1",2772,"",NA
"56cb314508d7300005fd312a",27,1,"Global A","Rock","Rock","R1","Related",5,13,"Study","Related","R1",2601,"",NA
"56cb314508d7300005fd312a",28,1,"Global A","Hill","Hill","R1","Related",6,5,"Study","Related","R1",1650,"",NA
"56cb314508d7300005fd312a",29,1,"Global A","Valley","Valley","R1","Related",1,11,"Study","Related","R1",1794,"",NA
"56cb314508d7300005fd312a",30,1,"Global A","Island","Island","R1","Related",9,8,"Study","Related","R1",2007,"",NA
"56cb314508d7300005fd312a",31,1,"Global A","Ocean","Ocean","R1","Related",8,12,"Study","Related","R1",2331,"",NA
"56cb314508d7300005fd312a",32,1,"Global A","River","River","R1","Related",2,9,"Study","Related","R1",2329,"",NA
"56cb314508d7300005fd312a",33,1,"Global A","Cave","Cave","R1","Related",11,3,"Study","Related","R1",2856,"",NA
"56cb314508d7300005fd312a",34,1,"Global A","Lake","Lake","R1","Related",10,2,"Study","Related","R1",1964,"",NA
"56cb314508d7300005fd312a",36,1,"Global A","","","","",NA,0,"JOL_GLOBAL","Related","JOL1",6001,"",20
"56cb314508d7300005fd312a",40,1,"Global A","","","","",NA,0,"FreeRecall","Related","RECALL_Test2",65005,"Mountain, Valley, Island, Cave, River, Hill, Volcano, Rock, Ocean",NA
"56cb314508d7300005fd312a",42,1,"Global A","Viper","Viper","U2","Unrelated",44,40,"Study","Unrelated","U2",3791,"",NA
"56cb314508d7300005fd312a",43,1,"Global A","Tulip","Tulip","U2","Unrelated",39,43,"Study","Unrelated","U2",1957,"",NA
"56cb314508d7300005fd312a",44,1,"Global A","Cruise","Cruise","U2","Unrelated",42,41,"Study","Unrelated","U2",1689,"",NA
"56cb314508d7300005fd312a",45,1,"Global A","Cold","Cold","U2","Unrelated",40,44,"Study","Unrelated","U2",3004,"",NA
"56cb314508d7300005fd312a",46,1,"Global A","Computer","Computer","U2","Unrelated",47,48,"Study","Unrelated","U2",2182,"",NA
"56cb314508d7300005fd312a",47,1,"Global A","Shark","Shark","U2","Unrelated",43,42,"Study","Unrelated","U2",1976,"",NA
"56cb314508d7300005fd312a",48,1,"Global A","Tea","Tea","U2","Unrelated",45,47,"Study","Unrelated","U2",2064,"",NA
"56cb314508d7300005fd312a",49,1,"Global A","Lipstick","Lipstick","U2","Unrelated",46,46,"Study","Unrelated","U2",1911,"",NA
"56cb314508d7300005fd312a",50,1,"Global A","Sandal","Sandal","U2","Unrelated",37,49,"Study","Unrelated","U2",2377,"",NA
"56cb314508d7300005fd312a",51,1,"Global A","Eye","Eye","U2","Unrelated",48,45,"Study","Unrelated","U2",2352,"",NA
"56cb314508d7300005fd312a",52,1,"Global A","Blue","Blue","U2","Unrelated",41,38,"Study","Unrelated","U2",2205,"",NA
"56cb314508d7300005fd312a",53,1,"Global A","Fly","Fly","U2","Unrelated",38,39,"Study","Unrelated","U2",3012,"",NA
"56cb314508d7300005fd312a",55,1,"Global A","","","","",NA,0,"JOL_GLOBAL","Unrelated","JOL4",6003,"",55
"56cb314508d7300005fd312a",59,1,"Global A","","","","",NA,0,"FreeRecall","Unrelated","RECALL_Test3",65003,"Lipstick, Fly, Computer, Eye, Shatk, Tea",NA
"56cb314508d7300005fd312a",61,1,"Global A","Wolf","Wolf","R2","Related",29,34,"Study","Related","R2",2964,"",NA
"56cb314508d7300005fd312a",62,1,"Global A","Tiger","Tiger","R2","Related",25,31,"Study","Related","R2",3870,"",NA
"56cb314508d7300005fd312a",63,1,"Global A","Zebra","Zebra","R2","Related",27,33,"Study","Related","R2",1989,"",NA
"56cb314508d7300005fd312a",64,1,"Global A","Cow","Cow","R2","Related",36,27,"Study","Related","R2",1854,"",NA
"56cb314508d7300005fd312a",65,1,"Global A","Goat","Goat","R2","Related",30,28,"Study","Related","R2",2326,"",NA
"56cb314508d7300005fd312a",66,1,"Global A","Lion","Lion","R2","Related",26,32,"Study","Related","R2",1986,"",NA
"56cb314508d7300005fd312a",67,1,"Global A","Elephant","Elephant","R2","Related",32,36,"Study","Related","R2",2000,"",NA
"56cb314508d7300005fd312a",68,1,"Global A","Cat","Cat","R2","Related",33,29,"Study","Related","R2",1645,"",NA
"56cb314508d7300005fd312a",69,1,"Global A","Donkey","Donkey","R2","Related",34,35,"Study","Related","R2",2094,"",NA
"56cb314508d7300005fd312a",70,1,"Global A","Cheetah","Cheetah","R2","Related",28,37,"Study","Related","R2",1968,"",NA
"56cb314508d7300005fd312a",71,1,"Global A","Bear","Bear","R2","Related",35,26,"Study","Related","R2",2009,"",NA
"56cb314508d7300005fd312a",72,1,"Global A","Girraffe","Girraffe","R2","Related",31,30,"Study","Related","R2",2075,"",NA
"56cb314508d7300005fd312a",74,1,"Global A","","","","",NA,0,"JOL_GLOBAL","Related","JOL3",5004,"",60
"56cb314508d7300005fd312a",78,1,"Global A","","","","",NA,0,"FreeRecall","Related","RECALL_Test4",65005,"Zebra, Giraffe, Donkey, Cheetah, Elephant, Car,Lion. Tiger",NA
"576d8e821a48240001867c54",4,4,"Global D","Banana","Banana","R1","Related",3,4,"Study","Related","R1",3317,"",NA
"576d8e821a48240001867c54",5,4,"Global D","Grape","Grape","R1","Related",4,7,"Study","Related","R1",1883,"",NA
"576d8e821a48240001867c54",6,4,"Global D","Strawberry","Strawberry","R1","Related",7,2,"Study","Related","R1",2536,"",NA
"576d8e821a48240001867c54",7,4,"Global D","Kiwi","Kiwi","R1","Related",8,12,"Study","Related","R1",2252,"",NA
"576d8e821a48240001867c54",8,4,"Global D","Mango","Mango","R1","Related",10,11,"Study","Related","R1",1664,"",NA
"576d8e821a48240001867c54",9,4,"Global D","Peach","Peach","R1","Related",6,5,"Study","Related","R1",2692,"",NA
"576d8e821a48240001867c54",10,4,"Global D","Pear","Pear","R1","Related",5,10,"Study","Related","R1",2351,"",NA
"576d8e821a48240001867c54",11,4,"Global D","Orange","Orange","R1","Related",2,6,"Study","Related","R1",2333,"",NA
"576d8e821a48240001867c54",12,4,"Global D","Cherry","Cherry","R1","Related",11,3,"Study","Related","R1",1963,"",NA
"576d8e821a48240001867c54",13,4,"Global D","Plum","Plum","R1","Related",9,8,"Study","Related","R1",1679,"",NA
"576d8e821a48240001867c54",14,4,"Global D","Apple","Apple","R1","Related",1,13,"Study","Related","R1",1967,"",NA
"576d8e821a48240001867c54",15,4,"Global D","Lemon","Lemon","R1","Related",12,9,"Study","Related","R1",1887,"",NA
"576d8e821a48240001867c54",17,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Related","JOL1",6002,"",80
"576d8e821a48240001867c54",21,4,"Global D","","","","",NA,0,"FreeRecall","Related","RECALL_Test1",65001,"mango peach apple pear kiwi banana grape plum ",NA
"576d8e821a48240001867c54",23,4,"Global D","Mint","Mint","U1","Unrelated",17,22,"Study","Unrelated","U1",2304,"",NA
"576d8e821a48240001867c54",24,4,"Global D","Kayak","Kayak","U1","Unrelated",20,15,"Study","Unrelated","U1",2132,"",NA
"576d8e821a48240001867c54",25,4,"Global D","Hawk","Hawk","U1","Unrelated",24,14,"Study","Unrelated","U1",1545,"",NA
"576d8e821a48240001867c54",26,4,"Global D","Shirt","Shirt","U1","Unrelated",18,21,"Study","Unrelated","U1",1422,"",NA
"576d8e821a48240001867c54",27,4,"Global D","Bean","Bean","U1","Unrelated",22,25,"Study","Unrelated","U1",2127,"",NA
"576d8e821a48240001867c54",28,4,"Global D","Flea","Flea","U1","Unrelated",21,23,"Study","Unrelated","U1",1963,"",NA
"576d8e821a48240001867c54",29,4,"Global D","Document","Document","U1","Unrelated",15,18,"Study","Unrelated","U1",1702,"",NA
"576d8e821a48240001867c54",30,4,"Global D","Dirt","Dirt","U1","Unrelated",16,17,"Study","Unrelated","U1",1785,"",NA
"576d8e821a48240001867c54",31,4,"Global D","Yellow","Yellow","U1","Unrelated",19,24,"Study","Unrelated","U1",1760,"",NA
"576d8e821a48240001867c54",32,4,"Global D","Bed","Bed","U1","Unrelated",14,19,"Study","Unrelated","U1",1746,"",NA
"576d8e821a48240001867c54",33,4,"Global D","Slow","Slow","U1","Unrelated",23,16,"Study","Unrelated","U1",1968,"",NA
"576d8e821a48240001867c54",34,4,"Global D","Frog","Frog","U1","Unrelated",13,20,"Study","Unrelated","U1",1867,"",NA
"576d8e821a48240001867c54",36,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Unrelated","JOL2",6001,"",50
"576d8e821a48240001867c54",40,4,"Global D","","","","",NA,0,"FreeRecall","Unrelated","RECALL_Test2",65006,"mint met kayak hawk let dirt ",NA
"576d8e821a48240001867c54",42,4,"Global D","Basement","Basement","R2","Related",26,36,"Study","Related","R2",2753,"",NA
"576d8e821a48240001867c54",43,4,"Global D","Wall","Wall","R2","Related",29,32,"Study","Related","R2",1780,"",NA
"576d8e821a48240001867c54",44,4,"Global D","Elevator","Elevator","R2","Related",33,30,"Study","Related","R2",1372,"",NA
"576d8e821a48240001867c54",45,4,"Global D","Attic","Attic","R2","Related",34,35,"Study","Related","R2",2425,"",NA
"576d8e821a48240001867c54",46,4,"Global D","Ceiling","Ceiling","R2","Related",25,27,"Study","Related","R2",2027,"",NA
"576d8e821a48240001867c54",47,4,"Global D","Hallway","Hallway","R2","Related",35,26,"Study","Related","R2",1675,"",NA
"576d8e821a48240001867c54",48,4,"Global D","Window","Window","R2","Related",28,33,"Study","Related","R2",1776,"",NA
"576d8e821a48240001867c54",49,4,"Global D","Roof","Roof","R2","Related",36,34,"Study","Related","R2",2493,"",NA
"576d8e821a48240001867c54",50,4,"Global D","Door","Door","R2","Related",30,28,"Study","Related","R2",1327,"",NA
"576d8e821a48240001867c54",51,4,"Global D","Stairs","Stairs","R2","Related",32,29,"Study","Related","R2",2051,"",NA
"576d8e821a48240001867c54",52,4,"Global D","Bathroom","Bathroom","R2","Related",27,37,"Study","Related","R2",1814,"",NA
"576d8e821a48240001867c54",53,4,"Global D","Floor","Floor","R2","Related",31,31,"Study","Related","R2",1743,"",NA
"576d8e821a48240001867c54",55,4,"Global D","","","","",NA,0,"JOL_GLOBAL","Related","JOL3",6001,"",80
"576d8e821a48240001867c54",59,4,"Global D","","","","",NA,0,"FreeRecall","Related","RECALL_Test3",65002,"bathroom hallway attic roof wall door window floor ceiling elevator ",NA
